Countries and areas,Latitude,Longitude,Year,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,All Immunization Received?
Turkmenistan,38.9697,59.5563,2021,98,99,97,97,97,98,97,97,97,97,Yes
Turks and Caicos Islands,21.694,-71.7979,2021,,,,,,,,,,,No
Tuvalu,-7.1095,177.6493,2021,99,99,94,87,93,84,94,94,59,,No
Uganda,1.3733,32.2903,2021,83,97,91,91,90,,91,91,87,91,No
Ukraine,48.3794,31.1656,2021,86,91,78,78,88,86,77,87,,,No
United Arab Emirates,23.4241,53.8478,2021,99,96,96,96,99,96,95,96,91,95,Yes
United Kingdom,55.3781,-3.436,2021,,97,93,93,91,87,93,93,91,91,No
United Republic of Tanzania,-6.369,34.8888,2021,75,82,81,70,76,62,81,81,77,80,Yes
United States,37.0902,-95.7129,2021,,97,93,92,91,95,91,90,75,82,No
Uruguay,-32.5228,-55.7658,2021,99,95,89,89,96,84,89,89,,94,No
Uzbekistan,41.3775,64.5853,2021,99,99,98,99,99,99,98,98,80,98,Yes
Vanuatu,-15.3767,166.9592,2021,76,71,62,62,50,,62,62,9,2,No
Venezuela (Bolivarian Republic of),6.4238,-66.5897,2021,68,73,56,50,68,37,56,56,,,No
Viet Nam,14.0583,108.2772,2021,88,87,83,81,89,85,83,83,,,No
Yemen,15.5527,48.5164,2021,70,82,72,66,71,52,72,72,73,72,Yes
Zambia,-13.1339,27.8493,2021,92,94,91,87,90,81,91,91,87,89,Yes
Zimbabwe,-19.0154,29.1549,2021,88,93,86,86,85,74,86,86,88,86,Yes
